BUILDINGUUID,CONFERENCEROOMUUID,CONFERENCEROOMNAME,CONFERENCEROOMCAPACITY,WEEKLYBOOKEDHOURS
0106aec8-4d0d-4bc5-a6eb-8b67f732634d,2bef9632-ecbc-11e9-9fd6-0e085323069c,05H,12,2.500000
0106aec8-4d0d-4bc5-a6eb-8b67f732634d,5f4225b4-ecbb-11e9-9974-0e085323069c,05B,4,5.500000
0106aec8-4d0d-4bc5-a6eb-8b67f732634d,7a93fffe-ecbb-11e9-943e-0e085323069c,05C,4,0.500000
0106aec8-4d0d-4bc5-a6eb-8b67f732634d,bb4e2a1a-ecbb-11e9-943e-0e085323069c,05E,10,3.000000
0106aec8-4d0d-4bc5-a6eb-8b67f732634d,ca48ce0e-ecba-11e9-ad22-0e085323069c,05A,14,9.500000
0106aec8-4d0d-4bc5-a6eb-8b67f732634d,ffc4ce4c-ecbb-11e9-bd8a-0e085323069c,05G,18,8.500000
011d4d16-2fbb-4846-9142-a29d25a9115f,0a5453a2-02a0-11e9-bc57-0af5174e198c,03G,4,8.500000
011d4d16-2fbb-4846-9142-a29d25a9115f,1cf1504c-033a-11e9-8be7-0af5174e198c,04G,4,14.000000
011d4d16-2fbb-4846-9142-a29d25a9115f,2333327c-028b-11e9-8bd3-0af5174e198c,03A,10,19.500000
011d4d16-2fbb-4846-9142-a29d25a9115f,253ce26a-028c-11e9-aa05-0af5174e198c,03D,10,11.500000
011d4d16-2fbb-4846-9142-a29d25a9115f,372f3140-033a-11e9-861e-0af5174e198c,04H,4,24.000000
011d4d16-2fbb-4846-9142-a29d25a9115f,5c9bfa78-0338-11e9-86a0-0af5174e198c,03K,10,6.500000
011d4d16-2fbb-4846-9142-a29d25a9115f,6080e5e8-033a-11e9-8ed0-0af5174e198c,04J,10,13.000000
011d4d16-2fbb-4846-9142-a29d25a9115f,61359a0c-0339-11e9-8d1f-0af5174e198c,04A,10,11.500000
011d4d16-2fbb-4846-9142-a29d25a9115f,6b499436-028e-11e9-ba85-0af5174e198c,03E,4,15.500000
